差分ID,物件番号,差分種別,差分検出日,参照元ファイル,更新フィールド数,更新フィールド一覧
20251207_144,100137051095,新規,2025-12-07,reins_20251207.csv,,
20251207_145,100137051102,新規,2025-12-07,reins_20251207.csv,,
20251207_146,100137051126,新規,2025-12-07,reins_20251207.csv,,
20251207_147,100137051374,新規,2025-12-07,reins_20251207.csv,,
20251207_148,100137051542,新規,2025-12-07,reins_20251207.csv,,
20251207_149,100137051551,新規,2025-12-07,reins_20251207.csv,,
20251207_150,100137051745,新規,2025-12-07,reins_20251207.csv,,
20251207_151,100137051757,新規,2025-12-07,reins_20251207.csv,,
20251207_152,100137051817,新規,2025-12-07,reins_20251207.csv,,
20251207_153,100137052193,新規,2025-12-07,reins_20251207.csv,,
20251207_154,100137052195,新規,2025-12-07,reins_20251207.csv,,
20251207_155,100137052201,新規,2025-12-07,reins_20251207.csv,,
20251207_156,100137052202,新規,2025-12-07,reins_20251207.csv,,
20251207_157,100137052213,新規,2025-12-07,reins_20251207.csv,,
20251207_158,100137052359,新規,2025-12-07,reins_20251207.csv,,
20251207_159,100137052491,新規,2025-12-07,reins_20251207.csv,,
20251207_160,100137052587,新規,2025-12-07,reins_20251207.csv,,
20251207_161,100137052588,新規,2025-12-07,reins_20251207.csv,,
20251207_162,100137052673,新規,2025-12-07,reins_20251207.csv,,
20251207_163,100137052675,新規,2025-12-07,reins_20251207.csv,,
20251207_164,100137052986,新規,2025-12-07,reins_20251207.csv,,
20251207_165,100137053020,新規,2025-12-07,reins_20251207.csv,,
20251207_166,100137053098,新規,2025-12-07,reins_20251207.csv,,
20251207_167,100137053108,新規,2025-12-07,reins_20251207.csv,,
20251207_168,100137053211,新規,2025-12-07,reins_20251207.csv,,
20251207_169,100137053217,新規,2025-12-07,reins_20251207.csv,,
20251207_170,100137053348,新規,2025-12-07,reins_20251207.csv,,
20251207_171,100137053642,新規,2025-12-07,reins_20251207.csv,,
20251207_172,100137053693,新規,2025-12-07,reins_20251207.csv,,
20251207_173,100137053702,新規,2025-12-07,reins_20251207.csv,,
20251207_174,100137054328,新規,2025-12-07,reins_20251207.csv,,
20251207_175,100137054570,新規,2025-12-07,reins_20251207.csv,,
20251207_176,100137054587,新規,2025-12-07,reins_20251207.csv,,
20251207_177,100137054603,新規,2025-12-07,reins_20251207.csv,,
20251207_178,100137054607,新規,2025-12-07,reins_20251207.csv,,
20251207_179,100137054611,新規,2025-12-07,reins_20251207.csv,,
20251207_180,100137054626,新規,2025-12-07,reins_20251207.csv,,
20251207_181,100137054752,新規,2025-12-07,reins_20251207.csv,,
20251207_182,100137054812,新規,2025-12-07,reins_20251207.csv,,
20251207_183,100137054813,新規,2025-12-07,reins_20251207.csv,,
20251207_184,100137055133,新規,2025-12-07,reins_20251207.csv,,
20251207_185,100137055136,新規,2025-12-07,reins_20251207.csv,,
20251207_186,100137055138,新規,2025-12-07,reins_20251207.csv,,
20251207_187,100137055279,新規,2025-12-07,reins_20251207.csv,,
20251207_188,100137055410,新規,2025-12-07,reins_20251207.csv,,
20251207_189,100137055700,新規,2025-12-07,reins_20251207.csv,,
20251207_190,100137055806,新規,2025-12-07,reins_20251207.csv,,
20251207_191,100137055915,新規,2025-12-07,reins_20251207.csv,,
20251207_192,100137055933,新規,2025-12-07,reins_20251207.csv,,
20251207_193,100137055955,新規,2025-12-07,reins_20251207.csv,,
20251207_194,100137056042,新規,2025-12-07,reins_20251207.csv,,
20251207_195,100137056331,新規,2025-12-07,reins_20251207.csv,,
20251207_196,100137056358,新規,2025-12-07,reins_20251207.csv,,
20251207_197,100137056359,新規,2025-12-07,reins_20251207.csv,,
20251207_198,100137056361,新規,2025-12-07,reins_20251207.csv,,
20251207_199,100137056390,新規,2025-12-07,reins_20251207.csv,,
20251207_200,100137056404,新規,2025-12-07,reins_20251207.csv,,
20251207_201,100137056415,新規,2025-12-07,reins_20251207.csv,,
20251207_202,100137056431,新規,2025-12-07,reins_20251207.csv,,
20251207_203,100137057152,新規,2025-12-07,reins_20251207.csv,,
20251207_204,100137057348,新規,2025-12-07,reins_20251207.csv,,
20251207_205,100137057360,新規,2025-12-07,reins_20251207.csv,,
20251207_206,100137057364,新規,2025-12-07,reins_20251207.csv,,
20251207_207,100137057493,新規,2025-12-07,reins_20251207.csv,,
20251207_208,100137057540,新規,2025-12-07,reins_20251207.csv,,
20251207_209,100137057592,新規,2025-12-07,reins_20251207.csv,,
20251207_210,100137057794,新規,2025-12-07,reins_20251207.csv,,
20251207_211,100137057795,新規,2025-12-07,reins_20251207.csv,,
20251207_212,100137057820,新規,2025-12-07,reins_20251207.csv,,
20251207_213,100137057833,新規,2025-12-07,reins_20251207.csv,,
20251207_214,100137057834,新規,2025-12-07,reins_20251207.csv,,
20251207_215,100137057919,新規,2025-12-07,reins_20251207.csv,,
20251207_216,100137057977,新規,2025-12-07,reins_20251207.csv,,
20251207_217,100137057982,新規,2025-12-07,reins_20251207.csv,,
20251207_218,100137058024,新規,2025-12-07,reins_20251207.csv,,
20251207_219,100137058038,新規,2025-12-07,reins_20251207.csv,,
20251207_220,100137058048,新規,2025-12-07,reins_20251207.csv,,
20251207_221,100137058434,新規,2025-12-07,reins_20251207.csv,,
20251207_222,100137059293,新規,2025-12-07,reins_20251207.csv,,
20251207_223,100137060456,新規,2025-12-07,reins_20251207.csv,,
20251207_224,100137060853,新規,2025-12-07,reins_20251207.csv,,
20251207_225,100137061544,新規,2025-12-07,reins_20251207.csv,,
20251207_226,100137061556,新規,2025-12-07,reins_20251207.csv,,
20251207_227,100137061570,新規,2025-12-07,reins_20251207.csv,,
20251207_228,100137061582,新規,2025-12-07,reins_20251207.csv,,
20251207_229,100137061583,新規,2025-12-07,reins_20251207.csv,,
20251207_230,100137061594,新規,2025-12-07,reins_20251207.csv,,
20251207_231,100137061861,新規,2025-12-07,reins_20251207.csv,,
20251207_232,100137062424,新規,2025-12-07,reins_20251207.csv,,
20251207_233,100137062433,新規,2025-12-07,reins_20251207.csv,,
20251207_234,100137062458,新規,2025-12-07,reins_20251207.csv,,
20251207_235,100137062577,新規,2025-12-07,reins_20251207.csv,,
20251207_236,100137062594,新規,2025-12-07,reins_20251207.csv,,
20251207_237,100137062684,新規,2025-12-07,reins_20251207.csv,,
20251207_238,100137062692,新規,2025-12-07,reins_20251207.csv,,
20251207_239,100137062713,新規,2025-12-07,reins_20251207.csv,,
20251207_240,100137062721,新規,2025-12-07,reins_20251207.csv,,
20251207_241,100137062728,新規,2025-12-07,reins_20251207.csv,,
20251207_242,100137062731,新規,2025-12-07,reins_20251207.csv,,
20251207_243,100137062733,新規,2025-12-07,reins_20251207.csv,,
20251207_244,100137062761,新規,2025-12-07,reins_20251207.csv,,
20251207_245,100137062774,新規,2025-12-07,reins_20251207.csv,,
20251207_246,100137062780,新規,2025-12-07,reins_20251207.csv,,
20251207_247,100137062798,新規,2025-12-07,reins_20251207.csv,,
20251207_248,100137062801,新規,2025-12-07,reins_20251207.csv,,
20251207_249,100137063021,新規,2025-12-07,reins_20251207.csv,,
20251207_250,100137063035,新規,2025-12-07,reins_20251207.csv,,
20251207_251,100137063588,新規,2025-12-07,reins_20251207.csv,,
20251207_252,100137063775,新規,2025-12-07,reins_20251207.csv,,
20251207_253,100137064067,新規,2025-12-07,reins_20251207.csv,,
20251207_254,100137064197,新規,2025-12-07,reins_20251207.csv,,
20251207_255,100137064236,新規,2025-12-07,reins_20251207.csv,,
20251207_256,100137064237,新規,2025-12-07,reins_20251207.csv,,
20251207_257,100137064291,新規,2025-12-07,reins_20251207.csv,,
20251207_258,100137064305,新規,2025-12-07,reins_20251207.csv,,
20251207_259,100137064459,新規,2025-12-07,reins_20251207.csv,,
20251207_260,100137064561,新規,2025-12-07,reins_20251207.csv,,
20251207_261,100137065053,新規,2025-12-07,reins_20251207.csv,,
20251207_262,100137065170,新規,2025-12-07,reins_20251207.csv,,
20251207_263,100137065186,新規,2025-12-07,reins_20251207.csv,,
20251207_264,100137065249,新規,2025-12-07,reins_20251207.csv,,
20251207_265,100137065266,新規,2025-12-07,reins_20251207.csv,,
20251207_266,100137065278,新規,2025-12-07,reins_20251207.csv,,
20251207_267,300137050795,新規,2025-12-07,reins_20251207.csv,,
20251207_268,300137054867,新規,2025-12-07,reins_20251207.csv,,
20251207_269,400137065190,新規,2025-12-07,reins_20251207.csv,,
20251207_270,100129233860,更新,2025-12-07,reins_20251207.csv,1,取引態様
20251207_271,100131185075,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_272,100131777629,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_273,100132723789,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_274,100132741793,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_275,100134035284,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_276,100134134407,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_277,100134306665,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_278,100134463482,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_279,100134628507,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_280,100134757719,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_281,100134926673,更新,2025-12-07,reins_20251207.csv,1,電話番号
20251207_282,100134975140,更新,2025-12-07,reins_20251207.csv,1,建物名
20251207_283,100135199313,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_284,100135205294,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_285,100135211787,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_286,100135231654,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_287,100135305430,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_288,100135346240,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_289,100135356379,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_290,100135360516,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_291,100135411481,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_292,100135523177,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_293,100135538622,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_294,100135567841,更新,2025-12-07,reins_20251207.csv,1,管理費
20251207_295,100135759197,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_296,100135835598,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_297,100135894195,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_298,100135964132,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_299,100135970303,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_300,100136006542,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_301,100136011751,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_302,100136016926,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_303,100136019164,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_304,100136031388,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_305,100136052595,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_306,100136070837,更新,2025-12-07,reins_20251207.csv,5,価格/㎡単価/坪単価/交通/電話番号
20251207_307,100136092144,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_308,100136104810,更新,2025-12-07,reins_20251207.csv,1,間取
20251207_309,100136129812,更新,2025-12-07,reins_20251207.csv,3,専有面積/㎡単価/坪単価
20251207_310,100136138471,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_311,100136140633,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_312,100136253043,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_313,100136306000,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_314,100136318465,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_315,100136318929,更新,2025-12-07,reins_20251207.csv,1,築年月
20251207_316,100136327457,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_317,100136343595,更新,2025-12-07,reins_20251207.csv,4,価格/㎡単価/建物名/坪単価
20251207_318,100136345596,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_319,100136373228,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_320,100136431738,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_321,100136459283,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_322,100136462830,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_323,100136485102,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_324,100136489031,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_325,100136496614,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_326,100136566174,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_327,100136570866,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_328,100136580640,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_329,100136585002,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_330,100136627802,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_331,100136628940,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_332,100136630789,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_333,100136642327,更新,2025-12-07,reins_20251207.csv,1,所在地
20251207_334,100136671604,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_335,100136673223,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_336,100136687494,更新,2025-12-07,reins_20251207.csv,4,価格/㎡単価/取引状況/坪単価
20251207_337,100136688979,更新,2025-12-07,reins_20251207.csv,2,所在階/管理費
20251207_338,100136700984,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_339,100136704327,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_340,100136716832,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_341,100136730733,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_342,100136747611,更新,2025-12-07,reins_20251207.csv,1,所在階
20251207_343,100136749491,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_344,100136757546,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_345,100136764151,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_346,100136770619,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_347,100136773444,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_348,100136773750,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_349,100136783204,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_350,100136786868,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_351,100136791618,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_352,100136822760,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_353,100136843938,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_354,100136858916,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_355,100136866788,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_356,100136868648,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_357,100136869784,更新,2025-12-07,reins_20251207.csv,1,管理費
20251207_358,100136879258,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_359,100136880221,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_360,100136888262,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_361,100136920057,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_362,100136920062,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_363,100136920335,更新,2025-12-07,reins_20251207.csv,1,建物名
20251207_364,100136920339,更新,2025-12-07,reins_20251207.csv,1,建物名
20251207_365,100136920347,更新,2025-12-07,reins_20251207.csv,1,建物名
20251207_366,100136920360,更新,2025-12-07,reins_20251207.csv,1,建物名
20251207_367,100136920366,更新,2025-12-07,reins_20251207.csv,1,建物名
20251207_368,100136920380,更新,2025-12-07,reins_20251207.csv,1,建物名
20251207_369,100136920385,更新,2025-12-07,reins_20251207.csv,1,建物名
20251207_370,100136920389,更新,2025-12-07,reins_20251207.csv,1,建物名
20251207_371,100136920391,更新,2025-12-07,reins_20251207.csv,1,建物名
20251207_372,100136920393,更新,2025-12-07,reins_20251207.csv,1,建物名
20251207_373,100136920404,更新,2025-12-07,reins_20251207.csv,1,建物名
20251207_374,100136920407,更新,2025-12-07,reins_20251207.csv,1,建物名
20251207_375,100136945911,更新,2025-12-07,reins_20251207.csv,1,管理費
20251207_376,100136946128,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_377,100136950874,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_378,100136963011,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_379,100136972558,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_380,100136972575,更新,2025-12-07,reins_20251207.csv,1,取引状況
20251207_381,100136972576,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_382,100136972601,更新,2025-12-07,reins_20251207.csv,1,間取
20251207_383,100136976852,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_384,100136980177,更新,2025-12-07,reins_20251207.csv,3,価格/㎡単価/坪単価
20251207_385,100136985651,更新,2025-12-07,reins_20251207.csv,1,管理費
20251207_386,100137006543,更新,2025-12-07,reins_20251207.csv,1,建物名
